id	region	mode	final	fast	suite	equiv	deep	directed
391	engine_ctrl	const1	killed_full	survived	killed	-	-	-
392	engine_ctrl	const1	killed_fast	killed	-	-	-	-
393	engine_ctrl	const0	killed_full	survived	killed	-	-	-
394	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
395	engine_ctrl	const1	killed_full	survived	killed	-	-	-
396	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
397	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
398	engine_ctrl	const0	killed_fast	killed	-	-	-	-
399	engine_ctrl	const0	killed_fast	killed	-	-	-	-
400	engine_ctrl	const0	killed_fast	killed	-	-	-	-
401	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
402	engine_ctrl	const0	killed_full	survived	killed	-	-	-
403	engine_ctrl	cnot0	survived	survived	survived	not_proven	killed	-
404	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
405	engine_ctrl	const1	killed_fast	killed	-	-	-	-
406	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	-
407	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
408	engine_ctrl	inv	killed_full	survived	killed	-	-	-
409	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
410	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
411	engine_ctrl	const0	killed_fast	killed	-	-	-	-
412	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
413	engine_ctrl	const1	survived	survived	survived	not_proven	survived	-
414	engine_ctrl	const1	killed_full	survived	killed	-	-	-
415	engine_ctrl	cnot1	survived	survived	survived	equivalent	-	-
416	engine_ctrl	const1	killed_fast	killed	-	-	-	-
417	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
418	engine_ctrl	inv	killed_full	survived	killed	-	-	-
419	engine_ctrl	inv	killed_fast	killed	-	-	-	-
420	engine_ctrl	const1	killed_full	survived	killed	-	-	-
421	engine_ctrl	const0	survived	survived	survived	not_proven	survived	-
422	engine_ctrl	const1	killed_full	survived	killed	-	-	-
423	engine_ctrl	inv	killed_full	survived	killed	-	-	-
424	engine_ctrl	inv	killed_fast	killed	-	-	-	-
425	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
426	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
427	engine_ctrl	const1	survived	survived	survived	not_proven	killed	-
428	engine_ctrl	const1	killed_fast	killed	-	-	-	-
