id	region	mode	port	equiv	rip	deep	directed	diverged_state	outputs
348	engine_ctrl	const0	Y[11]	not_proven	not_activated	survived	survived		
357	engine_ctrl	const0	A[10]	not_proven	not_activated	survived	survived		
361	engine_ctrl	const0	B[16]	not_proven	not_activated	survived	survived		
362	engine_ctrl	const0	Y[13]	not_proven	internal_only	survived	killed	wait_limit_1:108231	
363	engine_ctrl	const0	B[8]	not_proven	not_activated	survived	survived		
364	engine_ctrl	const0	A[11]	not_proven	not_activated	survived	survived		
367	engine_ctrl	cnot1	A[7]	not_proven	not_activated	survived	survived		
368	engine_ctrl	const0	A[21]	not_proven	not_activated	survived	survived		
369	engine_ctrl	inv	B[3]	not_proven	internal_only	survived	survived	blocked_cycles_2:765	
379	engine_ctrl	const0	A[31]	not_proven	internal_only	survived	survived	completed_instructions_0:5	
387	engine_ctrl	cnot1	A[9]	not_proven	not_activated	survived	survived		
388	engine_ctrl	cnot0	B[5]	not_proven	internal_only	killed	survived	blocked_cycles_1:31817	
390	engine_ctrl	cnot1	A[8]	not_proven	not_activated	survived	survived		
391	engine_ctrl	cnot1	Y[3]	equivalent	not_activated	survived	survived		
393	engine_ctrl	const1	A[1]	not_proven	internal_only	killed	killed	blocked_cycles_1:30365	
396	engine_ctrl	const0	Y[10]	not_proven	not_activated	survived	survived		
398	engine_ctrl	cnot1	B[22]	not_proven	not_activated	survived	survived		
399	engine_ctrl	const1	Y[0]	not_proven	internal_only	survived	survived	blocked_cycles_0:27871	
406	engine_ctrl	const0	A[15]	not_proven	internal_only	survived	survived	wait_limit_1:110615	
417	engine_ctrl	cnot0	Y[7]	not_proven	internal_only	killed	survived	blocked_cycles:34391	
419	engine_ctrl	cnot1	Y[1]	not_proven	not_activated	killed	survived		
420	engine_ctrl	const0	Y[16]	not_proven	not_activated	survived	survived		
421	engine_ctrl	const0	Y[5]	not_proven	not_activated	survived	survived		
423	engine_ctrl	const0	A[15]	not_proven	not_activated	survived	killed		
424	engine_ctrl	const0	A[20]	not_proven	not_activated	survived	survived		
425	engine_ctrl	inv	B[8]	not_proven	internal_only	survived	survived	wait_timer:79165	
427	engine_ctrl	const0	Y[2]	equivalent	not_activated	survived	survived		
429	engine_ctrl	const0	A[22]	not_proven	internal_only	survived	survived	wait_timer_1:5	
436	engine_ctrl	cnot0	Y[4]	not_proven	internal_only	survived	killed	blocked_cycles_1:14025	
